session_id,step_id,interface_option,interface_order,responses
25b78ff2-cbf6-4df6-bc5b-2dc1f5c2beba,final-survey,,"['benchmark', 'multi', 'single']",{'to': 'pageRefresh'}
2d5a0430-d472-41de-8437-d18e93908c94,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
2d5a0430-d472-41de-8437-d18e93908c94,single-survey,single,"['single', 'multi', 'benchmark']",{'targetType': 'previewToggleButton'}
2d5a0430-d472-41de-8437-d18e93908c94,single-survey,single,"['single', 'multi', 'benchmark']",{'targetType': 'previewToggleButton'}
2d5a0430-d472-41de-8437-d18e93908c94,single-survey,single,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
343da180-8031-4b31-9e6e-333341a68929,benchmark-survey,benchmark,"['benchmark', 'multi', 'single']",{'targetType': 'infoButton'}
343da180-8031-4b31-9e6e-333341a68929,benchmark-survey,benchmark,"['benchmark', 'multi', 'single']",{'targetType': 'infoButton'}
4023dfff-6229-448f-af14-ae8372bdb209,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'previewToggleButton'}
4023dfff-6229-448f-af14-ae8372bdb209,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'previewToggleButton'}
4023dfff-6229-448f-af14-ae8372bdb209,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
4023dfff-6229-448f-af14-ae8372bdb209,single-survey,single,"['single', 'multi', 'benchmark']",{'targetType': 'previewToggleButton'}
4023dfff-6229-448f-af14-ae8372bdb209,single-survey,single,"['single', 'multi', 'benchmark']",{'targetType': 'previewToggleButton'}
5ad7541d-e2ec-4675-9586-7a8981986e2d,final-survey,,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
5ad7541d-e2ec-4675-9586-7a8981986e2d,final-survey,,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
5ad7541d-e2ec-4675-9586-7a8981986e2d,final-survey,,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
7a4e4f17-ba1d-4573-be9d-344a5e30bac5,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
8d50a960-fef3-4721-bfe1-76c5cae9dae7,benchmark-survey,benchmark,"['benchmark', 'single', 'multi']",{'targetType': 'infoButton'}
8d50a960-fef3-4721-bfe1-76c5cae9dae7,benchmark-survey,benchmark,"['benchmark', 'single', 'multi']",{'targetType': 'infoButton'}
8f77b2d0-9f68-4e33-9133-eddc537c73e8,single-survey,single,"['single', 'benchmark', 'multi']",{'to': 'pageRefresh'}
8f79f055-7919-41c7-911d-b3c7189bfacd,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'infoButton'}
8f79f055-7919-41c7-911d-b3c7189bfacd,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'infoButton'}
98ad7c12-53ba-4564-b93f-57f1f809f8cd,benchmark-survey,benchmark,"['benchmark', 'multi', 'single']",{'targetType': 'previewToggleButton'}
98ad7c12-53ba-4564-b93f-57f1f809f8cd,benchmark-survey,benchmark,"['benchmark', 'multi', 'single']",{'targetType': 'previewToggleButton'}
a7bb5591-a88b-4c19-aef9-f95912f6ea94,benchmark-survey,benchmark,"['single', 'benchmark', 'multi']",{'targetType': 'previewToggleButton'}
a7bb5591-a88b-4c19-aef9-f95912f6ea94,multi-survey,multi,"['single', 'benchmark', 'multi']",{'targetType': 'previewToggleButton'}
a7bb5591-a88b-4c19-aef9-f95912f6ea94,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'previewToggleButton'}
a7bb5591-a88b-4c19-aef9-f95912f6ea94,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'previewToggleButton'}
a7bb5591-a88b-4c19-aef9-f95912f6ea94,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'previewToggleButton'}
af333a5b-e51b-441e-8191-c300e5ccf9f6,benchmark-survey,benchmark,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
d0a30739-2b23-46af-93d6-0f818cb62925,benchmark-survey,benchmark,"['benchmark', 'single', 'multi']",{'targetType': 'previewToggleButton'}
d0a30739-2b23-46af-93d6-0f818cb62925,benchmark-survey,benchmark,"['benchmark', 'single', 'multi']",{'targetType': 'previewToggleButton'}
d0a30739-2b23-46af-93d6-0f818cb62925,final-survey,,"['benchmark', 'single', 'multi']",{'targetType': 'infoButton'}
e394db6e-6273-4010-9180-c54bbf05b1f4,benchmark-survey,benchmark,"['multi', 'benchmark', 'single']",{'targetType': 'infoButton'}
e394db6e-6273-4010-9180-c54bbf05b1f4,final-survey,,"['multi', 'benchmark', 'single']",{'targetType': 'infoButton'}
e394db6e-6273-4010-9180-c54bbf05b1f4,multi-survey,multi,"['multi', 'benchmark', 'single']",{'targetType': 'previewToggleButton'}
e394db6e-6273-4010-9180-c54bbf05b1f4,multi-survey,multi,"['multi', 'benchmark', 'single']",{'targetType': 'previewToggleButton'}
e394db6e-6273-4010-9180-c54bbf05b1f4,multi-survey,multi,"['multi', 'benchmark', 'single']",{'targetType': 'infoButton'}
e394db6e-6273-4010-9180-c54bbf05b1f4,multi-survey,multi,"['multi', 'benchmark', 'single']",{'targetType': 'infoButton'}
e394db6e-6273-4010-9180-c54bbf05b1f4,multi-survey,multi,"['multi', 'benchmark', 'single']",{'targetType': 'infoButton'}
f162e491-7004-4271-98bc-21e296fc359c,benchmark-survey,benchmark,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
f162e491-7004-4271-98bc-21e296fc359c,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
f162e491-7004-4271-98bc-21e296fc359c,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
f162e491-7004-4271-98bc-21e296fc359c,multi-survey,multi,"['single', 'multi', 'benchmark']",{'targetType': 'infoButton'}
f65d982f-777a-4802-bdd6-eb0bb4f35965,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'previewToggleButton'}
f65d982f-777a-4802-bdd6-eb0bb4f35965,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'previewToggleButton'}
f65d982f-777a-4802-bdd6-eb0bb4f35965,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'infoButton'}
f65d982f-777a-4802-bdd6-eb0bb4f35965,single-survey,single,"['single', 'benchmark', 'multi']",{'targetType': 'infoButton'}
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,multi-survey,multi,"['benchmark', 'multi', 'single']",{'targetType': 'infoButton'}
f921b29c-061b-4ac9-8dd1-2634b97b7a0c,multi-survey,multi,"['benchmark', 'multi', 'single']",{'targetType': 'infoButton'}
